,names,fitnesses
1,Rank Uniform Bit-Flip,4188.579456
2,Rank Two-Point Bit-Flip,4206.698824
3,Roulette Uniform Bit-Flip,4353.354267
4,Roulette Two-Point Bit-Flip,4298.463979
5,Rank Uniform N-Bit-Flip,4161.450962
6,Rank Two-Point N-Bit-Flip,4219.709151
7,Roulette Uniform N-Bit-Flip,4315.61116
8,Roulette Two-Point N-Bit-Flip,4173.296426
9,Simulated Annealing Bit-Flip,4182.187603
10,Simulated Annealing N-Bit Flip,4206.545582
11,Foolish Hill Climbing Bit-Flip,4199.667665
12,Foolish Hill Climbing N-Bit-Flip,4286.009663
