"","names","fitnesses"
"1","Rank Uniform Bit-Flip",1352.00323172278
"2","Rank Two-Point Bit-Flip",1352.00323172278
"3","Roulette Uniform Bit-Flip",1352.00323172278
"4","Roulette Two-Point Bit-Flip",1352.00323172278
"5","Rank Uniform N-Bit-Flip",1352.00323172278
"6","Rank Two-Point N-Bit-Flip",1352.00323172278
"7","Roulette Uniform N-Bit-Flip",1352.00323172278
"8","Roulette Two-Point N-Bit-Flip",1352.00323172278
"9","Simulated Annealing Bit-Flip",1352.00323172278
"10","Simulated Annealing N-Bit Flip",1352.00323172278
"11","Foolish Hill Climbing Bit-Flip",1352.00323172278
"12","Foolish Hill Climbing N-Bit-Flip",1352.00323172278
